experiment,Vc_coded,f_coded,ap_coded,a_over_b,b_over_c,dM,Ra
1,-1.0,-1.0,-1.0,2.677,1.821,43.776,0.32
2,1.0,-1.0,-1.0,3.922,1.616,29.733,0.32
3,-1.0,1.0,-1.0,7.433,3.706,34.109,3.56
4,1.0,1.0,-1.0,8.522,2.156,20.133,3.01
5,-1.0,-1.0,1.0,3.279,2.008,43.097,0.48
6,1.0,-1.0,1.0,3.136,2.615,49.595,0.41
7,-1.0,1.0,1.0,1.873,9.712,64.101,3.85
8,1.0,1.0,1.0,1.99,2.545,200.8,3.61
9,-1.682,0.0,0.0,2.839,3.296,27.35,1.06
10,1.682,0.0,0.0,2.352,6.905,39.724,1.19
11,0.0,-1.682,0.0,2.785,2.077,54.811,0.25
12,0.0,1.682,0.0,1.857,12.299,76.613,5.98
13,0.0,0.0,-1.682,3.762,2.809,40.02,1.18
14,0.0,0.0,1.682,2.804,2.401,75.97,1.34
15,0.0,0.0,0.0,3.28,2.709,48.25,1.23
16,0.0,0.0,0.0,4.263,2.874,50.958,1.0
17,0.0,0.0,0.0,3.433,3.458,42.758,1.04
18,0.0,0.0,0.0,2.147,4.444,60.352,1.48
19,0.0,0.0,0.0,2.547,1.463,89.636,0.8
